pmid,year,title,abstract,text,label
41584425,2025,Hypopyon Sign in Acral Lesions: Dermoscopic Findings of a Patient with Palmoplantar Pustulosis.,"Palmoplantar pustulosis (PPP) is a chronic, recurrent inflammatory dermatosis affecting the palms and soles, classified as a form of acral pustular psoriasis. Nail involvement occurs in over half of PPP patients. This report presents a patient with PPP and idiopathic thrombocytopenic purpura who exhibited purpuric plantar and nail lesions. Dermoscopic examination revealed the hypopyon sign in both plantar and nail lesions, as well as centrally located eccrine duct openings within the plantar pustules. The hypopyon sign has been rarely documented, with previous reports limited to lymphangioma circumscriptum and angiosarcoma. This case supports the role of microvascular abnormalities in psoriasis pathogenesis and warrants further investigation into the underlying mechanisms.","Hypopyon Sign in Acral Lesions: Dermoscopic Findings of a Patient with Palmoplantar Pustulosis. Palmoplantar pustulosis (PPP) is a chronic, recurrent inflammatory dermatosis affecting the palms and soles, classified as a form of acral pustular psoriasis. Nail involvement occurs in over half of PPP patients. This report presents a patient with PPP and idiopathic thrombocytopenic purpura who exhibited purpuric plantar and nail lesions. Dermoscopic examination revealed the hypopyon sign in both plantar and nail lesions, as well as centrally located eccrine duct openings within the plantar pustules. The hypopyon sign has been rarely documented, with previous reports limited to lymphangioma circumscriptum and angiosarcoma. This case supports the role of microvascular abnormalities in psoriasis pathogenesis and warrants further investigation into the underlying mechanisms.",immune_inflammation
41583573,2025,"Physical inactivity and other cardiovascular risk factors in patients with psoriatic arthritis: Do we really ""kill two birds with one stone"" by managing inflammation?","To evaluate physical activity (PA) levels in patients with psoriatic arthritis (PsA) and their associations with cardiovascular (CV) risk factors, psychosocial parameters, and functional status, and to identify distinct patient subgroups using latent class analysis. In this cross-sectional study, 62 adults with PsA fulfilling Classification Criteria for Psoriatic Arthritis (CASPAR) were consecutively recruited from the Institute of Rheumatology. Physical activity was assessed using the International Physical Activity Questionnaire Short Form (IPAQ-SF) and categorized as low, moderate, or high. Cardiovascular risk factors, fatigue (Functional Assessment of Chronic Illness Therapy Fatigue Scale - FACIT-F), functional status (Health Assessment Questionnaire Disability Index - HAQ-DI), depression (Patient Health Questionnaire-9 - PHQ-9), anxiety (Beck Anxiety Inventory - BAI), kinesiophobia (Tampa Scale for Kinesiophobia - TSK), and sarcopenia risk (SARC-F) were evaluated. Disease activity was measured using the clinical Disease Activity Index for Psoriatic Arthritis (cDAPsA). Latent class analysis was applied to identify patient subgroups based on PA, comorbidities, and psychosocial variables. Mean age was 44.5 ±10.3 years; 52% were female. Physical activity was low in 19.4%, moderate in 67.7%, and high in 12.9%. Lower PA was associated with older age (<i>p</i> = 0.04), higher fatigue (FACIT-F 29 ±7 vs. 43 ±6.4, <i>p</i> = 0.01), and greater disability (HAQ-DI 0.9 vs. 0.1, <i>p</i> = 0.03). The prevalence of obesity was 51.6% (<i>n</i> = 32), hypertension (HT) 23% (<i>n</i> = 16), dyslipidemia 30% (<i>n</i> = 19), and diabetes mellitus type 2 12.9% (<i>n</i> = 8). Latent class analysis identified two classes: class I - younger, predominantly female (56%), higher education (82%), moderate PA (75%), lower cardiometabolic burden (obesity 46%, HT 14%, dyslipidemia 10%), and lower psychosocial impact; class II - broader age range, male predominance (54%), lower PA (30% low, 60% moderate), higher cardiometabolic burden (HT 86%, obesity 56%, dyslipidemia 35%), greater kinesiophobia (74%), and sarcopenia risk (19%). In PsA, low PA is associated with higher fatigue, functional impairment, and cardiometabolic and psychosocial burden. Latent class analysis revealed distinct subgroups, suggesting the need for personalized, multidisciplinary interventions targeting physical and psychological barriers. Integrating tailored PA promotion alongside pharmacological control may improve both joint and CV outcomes.","Physical inactivity and other cardiovascular risk factors in patients with psoriatic arthritis: Do we really ""kill two birds with one stone"" by managing inflammation? To evaluate physical activity (PA) levels in patients with psoriatic arthritis (PsA) and their associations with cardiovascular (CV) risk factors, psychosocial parameters, and functional status, and to identify distinct patient subgroups using latent class analysis. In this cross-sectional study, 62 adults with PsA fulfilling Classification Criteria for Psoriatic Arthritis (CASPAR) were consecutively recruited from the Institute of Rheumatology. Physical activity was assessed using the International Physical Activity Questionnaire Short Form (IPAQ-SF) and categorized as low, moderate, or high. Cardiovascular risk factors, fatigue (Functional Assessment of Chronic Illness Therapy Fatigue Scale - FACIT-F), functional status (Health Assessment Questionnaire Disability Index - HAQ-DI), depression (Patient Health Questionnaire-9 - PHQ-9), anxiety (Beck Anxiety Inventory - BAI), kinesiophobia (Tampa Scale for Kinesiophobia - TSK), and sarcopenia risk (SARC-F) were evaluated. Disease activity was measured using the clinical Disease Activity Index for Psoriatic Arthritis (cDAPsA). Latent class analysis was applied to identify patient subgroups based on PA, comorbidities, and psychosocial variables. Mean age was 44.5 ±10.3 years; 52% were female. Physical activity was low in 19.4%, moderate in 67.7%, and high in 12.9%. Lower PA was associated with older age (<i>p</i> = 0.04), higher fatigue (FACIT-F 29 ±7 vs. 43 ±6.4, <i>p</i> = 0.01), and greater disability (HAQ-DI 0.9 vs. 0.1, <i>p</i> = 0.03). The prevalence of obesity was 51.6% (<i>n</i> = 32), hypertension (HT) 23% (<i>n</i> = 16), dyslipidemia 30% (<i>n</i> = 19), and diabetes mellitus type 2 12.9% (<i>n</i> = 8). Latent class analysis identified two classes: class I - younger, predominantly female (56%), higher education (82%), moderate PA (75%), lower cardiometabolic burden (obesity 46%, HT 14%, dyslipidemia 10%), and lower psychosocial impact; class II - broader age range, male predominance (54%), lower PA (30% low, 60% moderate), higher cardiometabolic burden (HT 86%, obesity 56%, dyslipidemia 35%), greater kinesiophobia (74%), and sarcopenia risk (19%). In PsA, low PA is associated with higher fatigue, functional impairment, and cardiometabolic and psychosocial burden. Latent class analysis revealed distinct subgroups, suggesting the need for personalized, multidisciplinary interventions targeting physical and psychological barriers. Integrating tailored PA promotion alongside pharmacological control may improve both joint and CV outcomes.",clinical_comorbidity
41583484,2025,The research potential of A20 in psoriatic arthritis.,"Psoriasis, a systemic inflammatory disorder, extends beyond its classical dermatological presentation to encompass multiple manifestations including arthritis, inflammatory bowel disease, ocular inflammation (conjunctivitis/uveitis), and cardiovascular manifestations such as aortic valve pathology. While cutaneous manifestations have been extensively characterized, psoriatic arthritis (PsA) remains challenging to investigate, primarily due to the paucity of suitable experimental models that accurately recapitulate human disease. The ubiquitin-editing enzyme A20 (encoded by TNFAIP3) emerges as a critical regulatory molecule, serving dual functions in suppressing NF-κB signaling pathways and modulating programmed cell death mechanisms. Genome-wide association studies have established TNFAIP3 polymorphisms as susceptibility loci for both psoriasis and PsA. Murine models with A20 deficiencies demonstrate spontaneous development of cutaneous psoriasiform lesions and articular inflammation, with genetic manipulation techniques generating diverse mutation patterns that manifest in heterogeneous phenotypes. Systematic analysis of these preclinical models offers valuable insights into the molecular pathogenesis of PsA, potentially bridging current knowledge gaps in disease mechanisms and therapeutic target identification.","The research potential of A20 in psoriatic arthritis. Psoriasis, a systemic inflammatory disorder, extends beyond its classical dermatological presentation to encompass multiple manifestations including arthritis, inflammatory bowel disease, ocular inflammation (conjunctivitis/uveitis), and cardiovascular manifestations such as aortic valve pathology. While cutaneous manifestations have been extensively characterized, psoriatic arthritis (PsA) remains challenging to investigate, primarily due to the paucity of suitable experimental models that accurately recapitulate human disease. The ubiquitin-editing enzyme A20 (encoded by TNFAIP3) emerges as a critical regulatory molecule, serving dual functions in suppressing NF-κB signaling pathways and modulating programmed cell death mechanisms. Genome-wide association studies have established TNFAIP3 polymorphisms as susceptibility loci for both psoriasis and PsA. Murine models with A20 deficiencies demonstrate spontaneous development of cutaneous psoriasiform lesions and articular inflammation, with genetic manipulation techniques generating diverse mutation patterns that manifest in heterogeneous phenotypes. Systematic analysis of these preclinical models offers valuable insights into the molecular pathogenesis of PsA, potentially bridging current knowledge gaps in disease mechanisms and therapeutic target identification.",genetics_molecular
41578773,2025,Effect of Nutritional Ingredients on Disease Activation in Psoriatic Arthritis.,"To investigate the relationship between food composition and patterns and disease activity in psoriatic arthritis (PsA) patients. This cross-sectional study evaluated patients with PsA (n = 73). Sociodemographic and disease-related parameters, including the duration of illness, Disease Activity Index for PsA (DAPSA), C-reactive protein, erythrocyte sedimentation rate (ESR), the Health Assessment Questionnaire (HAQ), and Mediterranean Diet Compatibility Scale were assessed. Nutrient intake was recorded over 3 days and analyzed using a standard nutritional analysis program. Processed food consumption was classified according to the NOVA system. Among the patients with PsA, 71.2% of patients were female, 42.5% were obese, and 72.6% had low adherence to the Mediterranean diet (MD). The body mass index (BMI) and HAQ scores were higher in those with moderate-severe disease (DAPSA ≥ 15) than in those in remission or with mild disease (DAPSA ≤ 14) (P = 0.006 and P = 0.008, respectively). The MD adherence score was negatively correlated with the DAPSA, HAQ, and ESR (P = .025, P = .015, and P = .006, respectively). Higher adherence to the MD was associated with a lower risk of moderate-to-severe disease, while increases in cholesterol intake, sodium intake, and BMI were associated with a higher risk of disease severity. Obesity negatively affects disease progression in PsA. A protein-rich and a low-sodium diet appear to support remission, while poor adherence to the MD and high cholesterol intake may contribute to increased disease activity. These findings emphasize the importance of nutrition in the clinical course of PsA. Cite this article as: Varkal G, Akarca NN, Türk İ, Yetişir A, Mete B. Effect of nutritional ingredients on disease activation in psoriatic arthritis. Arch Rheumatol. 2025;40(4):459-464.","Effect of Nutritional Ingredients on Disease Activation in Psoriatic Arthritis. To investigate the relationship between food composition and patterns and disease activity in psoriatic arthritis (PsA) patients. This cross-sectional study evaluated patients with PsA (n = 73). Sociodemographic and disease-related parameters, including the duration of illness, Disease Activity Index for PsA (DAPSA), C-reactive protein, erythrocyte sedimentation rate (ESR), the Health Assessment Questionnaire (HAQ), and Mediterranean Diet Compatibility Scale were assessed. Nutrient intake was recorded over 3 days and analyzed using a standard nutritional analysis program. Processed food consumption was classified according to the NOVA system. Among the patients with PsA, 71.2% of patients were female, 42.5% were obese, and 72.6% had low adherence to the Mediterranean diet (MD). The body mass index (BMI) and HAQ scores were higher in those with moderate-severe disease (DAPSA ≥ 15) than in those in remission or with mild disease (DAPSA ≤ 14) (P = 0.006 and P = 0.008, respectively). The MD adherence score was negatively correlated with the DAPSA, HAQ, and ESR (P = .025, P = .015, and P = .006, respectively). Higher adherence to the MD was associated with a lower risk of moderate-to-severe disease, while increases in cholesterol intake, sodium intake, and BMI were associated with a higher risk of disease severity. Obesity negatively affects disease progression in PsA. A protein-rich and a low-sodium diet appear to support remission, while poor adherence to the MD and high cholesterol intake may contribute to increased disease activity. These findings emphasize the importance of nutrition in the clinical course of PsA. Cite this article as: Varkal G, Akarca NN, Türk İ, Yetişir A, Mete B. Effect of nutritional ingredients on disease activation in psoriatic arthritis. Arch Rheumatol. 2025;40(4):459-464.",clinical_comorbidity
41573728,2025,Data mining historical Chinese medical recipe collections and nuclear receptor profiling identify plant fractions that modulate glucocorticoid receptor activity.,"Glucocorticoids (GCs) play a prominent role in the management of chronic inflammatory diseases like rheumatoid arthritis and psoriatic arthritis, but their use is associated with various adverse effects. The therapeutic and adverse effects of GCs can be partly explained by modes of engagement with their target, the glucocorticoid receptor (GR). Identifying compounds that modulate GR through alternative mechanisms of action may provide a strategy to decouple therapeutic efficacy from side effects. Historical manuscripts on Chinese pharmacotherapy, which document the empirical use of natural products in treating inflammatory diseases, represent an underexplored source in drug discovery. These texts offer a historical library of plant materials and their metabolites, enabling strategic pre-selection of plant candidates for GR-targeted screening. This study utilizes the Chinese Historical Healthcare Manuscripts Database, a newly compiled corpus comprising over 41,000 medical recipes from 227 historical Chinese manuscripts, to identify plant-based treatments for rheumatoid arthritis and psoriatic arthritis. Pareto front analysis, a multi-objective optimization method, was applied to 1,897 relevant recipes to identify plants that consistently ranked high across multiple metrics, suggesting their effectiveness in historical practice. The results were evaluated by comparison with modern Chinese <i>materia medica</i> dictionaries. Extracts from ten of these resulting plants underwent fractionation and were screened for GR modulation using Nuclear Receptor Activity Profiling (NAPing). Pareto front analysis identified 32 botanical drugs statistically associated with historical disease indications resembling rheumatoid arthritis, psoriatic arthritis, and psoriasis. Nineteen of these are explicitly described in Chinese <i>materia medica</i> dictionaries for the treatment of such diseases. None of the plant fractions tested by NAPing replicated classical GC-induced GR-coregulator binding, but three induced unique binding interactions, suggesting alternative GR modulation mechanisms. This study illustrates how combining data mining of historical pharmaceutical recipes with molecular screening can accelerate the discovery of new and possibly safer GR modulators. Such approaches may inform future translational strategies for treating chronic inflammatory diseases.","Data mining historical Chinese medical recipe collections and nuclear receptor profiling identify plant fractions that modulate glucocorticoid receptor activity. Glucocorticoids (GCs) play a prominent role in the management of chronic inflammatory diseases like rheumatoid arthritis and psoriatic arthritis, but their use is associated with various adverse effects. The therapeutic and adverse effects of GCs can be partly explained by modes of engagement with their target, the glucocorticoid receptor (GR). Identifying compounds that modulate GR through alternative mechanisms of action may provide a strategy to decouple therapeutic efficacy from side effects. Historical manuscripts on Chinese pharmacotherapy, which document the empirical use of natural products in treating inflammatory diseases, represent an underexplored source in drug discovery. These texts offer a historical library of plant materials and their metabolites, enabling strategic pre-selection of plant candidates for GR-targeted screening. This study utilizes the Chinese Historical Healthcare Manuscripts Database, a newly compiled corpus comprising over 41,000 medical recipes from 227 historical Chinese manuscripts, to identify plant-based treatments for rheumatoid arthritis and psoriatic arthritis. Pareto front analysis, a multi-objective optimization method, was applied to 1,897 relevant recipes to identify plants that consistently ranked high across multiple metrics, suggesting their effectiveness in historical practice. The results were evaluated by comparison with modern Chinese <i>materia medica</i> dictionaries. Extracts from ten of these resulting plants underwent fractionation and were screened for GR modulation using Nuclear Receptor Activity Profiling (NAPing). Pareto front analysis identified 32 botanical drugs statistically associated with historical disease indications resembling rheumatoid arthritis, psoriatic arthritis, and psoriasis. Nineteen of these are explicitly described in Chinese <i>materia medica</i> dictionaries for the treatment of such diseases. None of the plant fractions tested by NAPing replicated classical GC-induced GR-coregulator binding, but three induced unique binding interactions, suggesting alternative GR modulation mechanisms. This study illustrates how combining data mining of historical pharmaceutical recipes with molecular screening can accelerate the discovery of new and possibly safer GR modulators. Such approaches may inform future translational strategies for treating chronic inflammatory diseases.",therapy_treatment
41573656,2025,Case Report: Pembrolizumab associated lichen planus in early stage triple negative breast cancer.,"Triple negative breast cancer (TNBC) is a breast cancer with a poor prognosis, marked by the absence of estrogen (ER) and progesterone (PR) receptors as well as human epidermal growth factor receptor (HER2) expression. Although TNBC is characterized by a high recurrence rate and poorer survival, it is more sensitive to chemotherapy compared to other breast cancer subtypes. The use of targeted immunotherapy approaches has been brought to the agenda for the treatment of both early and advanced TNBC, as TNBCs are immunogenic active tumors. In systemic therapy, addition of immune checkpoint inhibitors to cytotoxic chemotherapy is used as part of the neoadjuvant treatment approach. Pembrolizumab is a monoclonal antibody that blocks the interaction between the programmed death-ligand 1 (PD-L1) receptor on T cells and the PD-L1 and PD-L2 ligands on tumor cells. It has been shown to be effective in TNBC, melanoma, lung cancer and other advanced solid tumors and hematologic malignancies. Several skin-related side effects have been documented, such as pruritus, maculopapular rashes, vitiligo, lichenoid skin reactions, psoriasis, and, in rare cases, severe and potentially life-threatening conditions. We report a rare case of pembrolizumab-associated lichen planus in a 43-year-old woman who received pembrolizumab for neoadjuvant treatment of TNBC.","Case Report: Pembrolizumab associated lichen planus in early stage triple negative breast cancer. Triple negative breast cancer (TNBC) is a breast cancer with a poor prognosis, marked by the absence of estrogen (ER) and progesterone (PR) receptors as well as human epidermal growth factor receptor (HER2) expression. Although TNBC is characterized by a high recurrence rate and poorer survival, it is more sensitive to chemotherapy compared to other breast cancer subtypes. The use of targeted immunotherapy approaches has been brought to the agenda for the treatment of both early and advanced TNBC, as TNBCs are immunogenic active tumors. In systemic therapy, addition of immune checkpoint inhibitors to cytotoxic chemotherapy is used as part of the neoadjuvant treatment approach. Pembrolizumab is a monoclonal antibody that blocks the interaction between the programmed death-ligand 1 (PD-L1) receptor on T cells and the PD-L1 and PD-L2 ligands on tumor cells. It has been shown to be effective in TNBC, melanoma, lung cancer and other advanced solid tumors and hematologic malignancies. Several skin-related side effects have been documented, such as pruritus, maculopapular rashes, vitiligo, lichenoid skin reactions, psoriasis, and, in rare cases, severe and potentially life-threatening conditions. We report a rare case of pembrolizumab-associated lichen planus in a 43-year-old woman who received pembrolizumab for neoadjuvant treatment of TNBC.",immune_inflammation
41573607,2025,Evaluation of Patients Diagnosed with Inherited Metabolic Diseases in Adulthood.,"Inherited metabolic diseases (IMDs) arise due to deficiencies in enzymes involved in metabolic pathways or other dysfunctions within these pathways, leading to a deficiency of specific end products or the toxic accumulation of intermediate metabolites. These diseases may present at any age with varying clinical courses. With advances in treatment options and increased awareness, IMDs are increasingly being diagnosed and managed in adulthood. This study aims to understand the clinical features and diagnostic processes of patients diagnosed with IMDs during adulthood and to raise awareness regarding these conditions. Medical records of adult patients diagnosed with IMDs between June 2022 and June 2024 were retrospectively reviewed. Patients were included if they were diagnosed with an IMD at or above the age of 18. Those diagnosed during childhood but transitioning to adulthood were excluded. Twenty patients, aged 19-72 years (11 males, 9 females), were diagnosed with IMDs. The mean age of symptom onset was 30 years (range: 15-70 years), and the mean age of diagnosis was 37 years (range: 18-72 years). Diagnoses included Fabry disease (n=10, 20%), familial hypobetalipoproteinemia (FHBL) (n=3, 15%), and alkaptonuria (AKU) (n=2, 10%). Other diagnoses included Gaucher disease, Niemann-Pick disease type B, glycogen storage disease type IIIa (GSD IIIa), glycogen storage disease type XV (GSD XV), and cerebrotendinous xanthomatosis (CTX). Sixty-five percent of patients were identified via family screening, while 35% were diagnosed based on clinical findings supported by biochemical tests. Misdiagnoses before definitive IMD diagnosis included osteoarthritis, psoriatic arthritis, renal failure, heart failure, proteinuria, interstitial lung disease, hepatosteatosis, and nephrolithiasis. Disease-specific treatments were initiated and follow-ups were conducted. Chronic and mild phenotypes of certain IMDs may pose diagnostic challenges. Increased awareness among healthcare professionals and further studies focusing on differential diagnoses are critical to improving the detection and management of IMDs.","Evaluation of Patients Diagnosed with Inherited Metabolic Diseases in Adulthood. Inherited metabolic diseases (IMDs) arise due to deficiencies in enzymes involved in metabolic pathways or other dysfunctions within these pathways, leading to a deficiency of specific end products or the toxic accumulation of intermediate metabolites. These diseases may present at any age with varying clinical courses. With advances in treatment options and increased awareness, IMDs are increasingly being diagnosed and managed in adulthood. This study aims to understand the clinical features and diagnostic processes of patients diagnosed with IMDs during adulthood and to raise awareness regarding these conditions. Medical records of adult patients diagnosed with IMDs between June 2022 and June 2024 were retrospectively reviewed. Patients were included if they were diagnosed with an IMD at or above the age of 18. Those diagnosed during childhood but transitioning to adulthood were excluded. Twenty patients, aged 19-72 years (11 males, 9 females), were diagnosed with IMDs. The mean age of symptom onset was 30 years (range: 15-70 years), and the mean age of diagnosis was 37 years (range: 18-72 years). Diagnoses included Fabry disease (n=10, 20%), familial hypobetalipoproteinemia (FHBL) (n=3, 15%), and alkaptonuria (AKU) (n=2, 10%). Other diagnoses included Gaucher disease, Niemann-Pick disease type B, glycogen storage disease type IIIa (GSD IIIa), glycogen storage disease type XV (GSD XV), and cerebrotendinous xanthomatosis (CTX). Sixty-five percent of patients were identified via family screening, while 35% were diagnosed based on clinical findings supported by biochemical tests. Misdiagnoses before definitive IMD diagnosis included osteoarthritis, psoriatic arthritis, renal failure, heart failure, proteinuria, interstitial lung disease, hepatosteatosis, and nephrolithiasis. Disease-specific treatments were initiated and follow-ups were conducted. Chronic and mild phenotypes of certain IMDs may pose diagnostic challenges. Increased awareness among healthcare professionals and further studies focusing on differential diagnoses are critical to improving the detection and management of IMDs.",clinical_comorbidity
41573434,2025,Merciful Malady: Renbök Phenomenon Between Alopecia Areata and Psoriasis Vulgaris.,"RenbÖk phenomenon is the withdrawal of one clinical lesion when another lesion appears. This is a case report of an 11-year-old girl with multiple hyperpigmented scaly plaques over the scalp, trunk, and bilateral upper and lower limbs. The patient also had patchy hair loss over the scalp, which was spared from the scaly plaques. The case report thus elaborates on a fascinating immunological mechanism between the two autoimmune diseases that spares the patient from one disorder should the other appear.","Merciful Malady: Renbök Phenomenon Between Alopecia Areata and Psoriasis Vulgaris. RenbÖk phenomenon is the withdrawal of one clinical lesion when another lesion appears. This is a case report of an 11-year-old girl with multiple hyperpigmented scaly plaques over the scalp, trunk, and bilateral upper and lower limbs. The patient also had patchy hair loss over the scalp, which was spared from the scaly plaques. The case report thus elaborates on a fascinating immunological mechanism between the two autoimmune diseases that spares the patient from one disorder should the other appear.",clinical_comorbidity
41567644,2025,Efficacy and safety of vunakizumab in moderate-to-severe plaque psoriasis patients with different body mass index: a <i>post hoc</i> analysis based on a phase III trial.,"Vunakizumab is effective and safe for treating moderate-to-severe plaque psoriasis patients. This <i>post hoc</i> analysis was intended to assess the effects of vunakizumab in patients with different body mass index (BMI). In the phase III trial of vunakizumab (NCT04839016), 461 moderate-to-severe plaque psoriasis patients receiving vunakizumab were enrolled and categorized into baseline BMI<24 kg/m<sup>2</sup> (N = 179), 24≤BMI<28 kg/m<sup>2</sup> (N = 183), and BMI≥28 kg/m<sup>2</sup> (N = 99) groups. At least 75% improvement from baseline in the Psoriasis Area and Severity Index (PASI 75), PASI 90, PASI 100, static physician's global assessment (sPGA) 0/1, patient-reported outcomes (PROs), serum concentration of vunakizumab, and adverse events from week 0 (W0)-W52 were recorded. A lower BMI was associated with higher W0--W12 accumulating PASI 75, PASI 90, PASI 100, and sPGA 0/1 response rates. From W0--W52, a lower BMI was associated with higher PASI 75, PASI 90, and PASI 100 scores at most time points and was related to sPGA 0/1 response rates from W4--W48. With respect to PROs, higher BMI was related to increased mean dermatology life quality index scores at several time points but was not associated with the mean worst itch numerical rating scale, EuroQoL-5D (EQ-5D) utility index, EQ-5D visual analog scale score, or short form-36 mental/physical component score. A lower BMI was related to a higher mean serum concentration of vunakizumab. The incidences of any adverse events and most specific adverse events did not differ among the groups. A lower BMI is associated with a greater treatment response and quality of life in moderate-to-severe plaque psoriasis patients receiving vunakizumab.","Efficacy and safety of vunakizumab in moderate-to-severe plaque psoriasis patients with different body mass index: a <i>post hoc</i> analysis based on a phase III trial. Vunakizumab is effective and safe for treating moderate-to-severe plaque psoriasis patients. This <i>post hoc</i> analysis was intended to assess the effects of vunakizumab in patients with different body mass index (BMI). In the phase III trial of vunakizumab (NCT04839016), 461 moderate-to-severe plaque psoriasis patients receiving vunakizumab were enrolled and categorized into baseline BMI<24 kg/m<sup>2</sup> (N = 179), 24≤BMI<28 kg/m<sup>2</sup> (N = 183), and BMI≥28 kg/m<sup>2</sup> (N = 99) groups. At least 75% improvement from baseline in the Psoriasis Area and Severity Index (PASI 75), PASI 90, PASI 100, static physician's global assessment (sPGA) 0/1, patient-reported outcomes (PROs), serum concentration of vunakizumab, and adverse events from week 0 (W0)-W52 were recorded. A lower BMI was associated with higher W0--W12 accumulating PASI 75, PASI 90, PASI 100, and sPGA 0/1 response rates. From W0--W52, a lower BMI was associated with higher PASI 75, PASI 90, and PASI 100 scores at most time points and was related to sPGA 0/1 response rates from W4--W48. With respect to PROs, higher BMI was related to increased mean dermatology life quality index scores at several time points but was not associated with the mean worst itch numerical rating scale, EuroQoL-5D (EQ-5D) utility index, EQ-5D visual analog scale score, or short form-36 mental/physical component score. A lower BMI was related to a higher mean serum concentration of vunakizumab. The incidences of any adverse events and most specific adverse events did not differ among the groups. A lower BMI is associated with a greater treatment response and quality of life in moderate-to-severe plaque psoriasis patients receiving vunakizumab.",clinical_comorbidity
41562814,2025,"Neutrophil-Galectin-9 Axis Linking Innate and Adaptive Immunity in ATL, Sézary Syndrome, COVID-19, and Psoriasis: An AI-Assisted Integrative Review.","Beyond their traditional role as short-lived antimicrobial cells, neutrophils are increasingly recognized as key regulators of adaptive immunity and tumor progression. This AI-assisted integrative review investigated the neutrophil-T-cell axis, particularly the role of Galectin-9 (Gal-9)<i>,</i> across adult T-cell leukemia/lymphoma (ATL), Sézary syndrome (SS), coronavirus disease 2019 (COVID-19), and psoriasis. Leveraging AI tools (GPT-5 and Adobe Acrobat AI Assistant) for literature synthesis (2000-2025) and expert validation, we aimed to identify common immunological mechanisms. Across all conditions, neutrophils displayed persistent activation, elevated Gal-9 expression, and modulated T-cell interactions. In ATL and SS, neutrophilia correlated with poor survival and TCR signaling dysregulation, suggesting Gal-9-mediated immune modulation. In COVID-19 and psoriasis, neutrophil-derived Gal-9-linked innate hyperactivation to T-cell exhaustion and IL-17-driven inflammation. These findings define a recurring neutrophil-Gal-9 regulatory module connecting innate and adaptive immune responses. This study underscores the feasibility of combining AI-driven literature synthesis with expert review to identify unifying immunological mechanisms and therapeutic targets across malignancy and inflammation.","Neutrophil-Galectin-9 Axis Linking Innate and Adaptive Immunity in ATL, Sézary Syndrome, COVID-19, and Psoriasis: An AI-Assisted Integrative Review. Beyond their traditional role as short-lived antimicrobial cells, neutrophils are increasingly recognized as key regulators of adaptive immunity and tumor progression. This AI-assisted integrative review investigated the neutrophil-T-cell axis, particularly the role of Galectin-9 (Gal-9)<i>,</i> across adult T-cell leukemia/lymphoma (ATL), Sézary syndrome (SS), coronavirus disease 2019 (COVID-19), and psoriasis. Leveraging AI tools (GPT-5 and Adobe Acrobat AI Assistant) for literature synthesis (2000-2025) and expert validation, we aimed to identify common immunological mechanisms. Across all conditions, neutrophils displayed persistent activation, elevated Gal-9 expression, and modulated T-cell interactions. In ATL and SS, neutrophilia correlated with poor survival and TCR signaling dysregulation, suggesting Gal-9-mediated immune modulation. In COVID-19 and psoriasis, neutrophil-derived Gal-9-linked innate hyperactivation to T-cell exhaustion and IL-17-driven inflammation. These findings define a recurring neutrophil-Gal-9 regulatory module connecting innate and adaptive immune responses. This study underscores the feasibility of combining AI-driven literature synthesis with expert review to identify unifying immunological mechanisms and therapeutic targets across malignancy and inflammation.",immune_inflammation
